IDRSSD	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	field48
37	9083000	0	4848000	15545000	0	24642000	0	0	0	0	34058000	0	511000		16651000	2167000	2058000	19794000	33547000	0	0	222000	0	0	2266000	10075000	5669000	3672000	12341000	366000	506000	0	254000	5031000	1125000	0	0	871000	0	TRUE							
242	5841000	0	534000	7875000	0	13402000	0	0	0	0	20679000	0	3893000		4637000	4673000	1535000	12868000	16786000	0	0	135000	0	0	810000	2518000	1508000	1403000	3328000	3410000	0	253000	262000	1602000	3926000	0	0	3410000	0	TRUE							
279	45764000	777000	0	25693000	0	68480000	0	0	0	0	136731000	719000	0		31706000	11189000	14182000	67703000	136012000	0	0	5619000	0	0	14947000	29397000	26376000	2356000	44344000	1152000	2473000	3077000	0	41370000	6702000	0	0	3625000	1245000	TRUE							
354	2021000	0	92000	5625000	0	5625000	0	0	0	0	6812000	300000	963000		1583000	1656000	0	5533000	5549000	0	0	0	0	0	876000	1679000	28000	0	2555000	552000	0	0	0	999000	552000	0	0	552000	0	FALSE							
457	6206000	0	573000	7366000	0	10437000	0	0	2788000	0	32073000	0	3182000		6548000	10988000	2082000	9864000	25111000	0	3780000	739000	2788000	2788000	3834000	7927000	1734000	1111000	8197000	0	273000	0	0	8058000	273000	0	0	273000	992000	TRUE							
505	213450000	2000	9158000	33586000	0	52398000	0	0	0	0	397331000	0	107657000		20453000	132553000	4298000	43238000	289674000	0	0	1108000	0	0	9296000	12305000	10664000	1107000	21373000	5837000	9605000	2515000	0	12918000	17957000	0	0	15442000	0	FALSE							
1155	831000	0	10634000	43713000	0	151476000	0	0	0	0	79659000	0	4211000		29354000	25378000	7979000	139761000	75448000	1081000	0	2638000	0	0	15277000	12273000	15797000	1400000	23387000	3351000	1326000	4026000	0	15393000	8703000	3514000	0	4677000	0	TRUE							
1351	7030000	0	8802000	19749000	0	35812000	0	0	0	0	103624000	0	6003000		36603000	22796000	8806000	27010000	97621000	0	0	4019000	0	0	11348000	29232000	19794000	0	40580000	2175000	9383000	1867000	0	23770000	13425000	0	0	11558000	0	FALSE							
1454	702000	0	30363000	208944000	0	354131000	0	0	0	0	289387000	614000	42330000		36144000	200655000	25725000	323768000	246443000	0	0	8819000	0	0	18196000	20063000	11390000	3416000	32174000	25117000	7373000	775000	1700000	16921000	34965000	0	0	9303000	0	TRUE							
1669	30505000	3000	22961000	68484000	0	137637000	0	0	0	0	102412000	0	356000		26447000	19499000	9404000	114654000	102016000	19000	40000	2453000	0	0	9022000	20674000	11119000	3120000	28924000	730000	3800000	3625000	319000	17487000	8474000	0	0	4530000	0	FALSE							
1856	1248000	0	465000	2909000	0	5033000	0	0	0	0	56492000	0	605000		5579000	24314000	0	4568000	37416000	0	18471000	0	0	0	3188000	11513000	9517000	836000	14701000	1347000	3774000	755000	0	19475000	5876000	0	0	5121000	13056000	FALSE							
2040	16491000	3000	2044000	23990000	0	56031000	0	0	10339000	0	92519000	0	3326000		22711000	41973000	3872000	53984000	89193000	0	0	903000	10339000	2254000	982000	12399000	16108000	339000	13381000	0	1103000	3125000	0	7116000	4228000	18707000	0	1103000	0	TRUE							
2161	29362000	0	1613000	38898000	0	78541000	0	0	2250000	0	69761000	0	927000		10101000	9019000	6961000	76928000	68834000	0	0	0	2250000	2250000	7189000	12621000	2218000	329000	17560000	2099000	6404000	520000	0	12256000	9023000	831000	0	8503000	0	TRUE							
2376	893510000	0	69312000	30978000	0	187094000	0	0	471228000	0	2764538000	0	442714000		442447000	622670000	123471000	113119000	2221905000	4663000	99919000	123226000	471228000	471228000	243677000	446813000	315417000	12170000	687492000	57904000	101392000	67137000	3847000	575629000	230281000	0	0	158988000	90734000	TRUE	11459000	14639000	11934000	261875000	496292000	105797000	
2732	57067000	0	7153000	113328000	0	165052000	0	0	7000000	0	331591000	0	11254000		38820000	107918000	11428000	157899000	320337000	0	0	3550000	7000000	7000000	13860000	39013000	13296000	7687000	52375000	29424000	56581000	3406000	3339000	35036000	92750000	0	0	86005000	0	TRUE							
2750	13852000	0	3539000	4965000	0	14036000	0	0	4000000	0	41479000	0	6189000		8688000	477000	1555000	10497000	29392000	0	5898000	384000	0	0	2736000	6919000	11618000	297000	8839000	0	5307000	273000	0	12881000	5580000	0	4000000	5031000	5898000	TRUE							
3252	14337000	0	54820000	29439000	0	85380000	0	0	12774000	0	71703000	0	17756000		11818000	12371000	5058000	30560000	52202000	0	1745000	0	12241000	11429000	13814000	11315000	7459000	3146000	25129000	4968000	3308000	606000	380000	23915000	9262000	828000	503000	8276000	0	FALSE							
3458	2635000	0	5202000	5034000	0	13309000	0	0	3000000	0	36091000	0	5672000		11490000	3327000	0	8107000	30419000	0	0	0	3000000	3000000	4649000	11775000	8663000	1224000	16424000	0	1248000	2570000	0	14821000	3818000	0	0	1248000	0	TRUE							
3720	40540000	0	26737000	50376000	0	133926000	0	0	0	0	98125000	0	2774000		21469000	9512000	5591000	107189000	95351000	0	0	1738000	0	0	7808000	21487000	4190000	248000	29295000	1382000	12200000	758000	0	12264000	14340000	0	0	13582000	0	TRUE							
3971	98110000	0	68000	20063000	0	36768000	0	0	90194000	0	557586000	0	8428000		147934000	220890000	17915000	36700000	477181000	0	71977000	5546000	90194000	81867000	55102000	90662000	44586000	22449000	145764000	6930000	12928000	2021000	3908000	64865000	25787000	0	0	19858000	1854000	TRUE							
4156	21147000	0	9883000	42291000	0	87531000	0	0	0	0	106389000	0	13765000		17380000	33565000	4206000	77648000	87413000	0	5211000	2027000	0	0	10139000	22038000	9393000	4223000	32177000	1397000	3319000	331000	837000	28413000	5884000	14129000	0	4716000	5212000	TRUE							
4231	17336000	0	15185000	27358000	0	45539000	0	0	0	0	54789000	0	802000		13679000	6379000	11582000	30354000	53987000	0	0	6868000	0	0	3174000	9775000	11639000	3194000	12949000	890000	0	1568000	832000	14104000	3290000	0	0	890000	0	TRUE							
5069	26025000	0	0	54839000	0	56233000	0	0	65045000	0	189215000	0	494000		43688000	17588000	950000	56233000	174496000	0	14225000	476000	65045000	33298000	19899000	44495000	41104000	4790000	64394000	6736000	20974000	2906000	4698000	66600000	35314000	0	0	27710000	12037000	FALSE							
5135	23181000	0	32010000	71595000	0	140694000	0	0	44304000	0	270076000	0	12335000		89378000	49910000	17489000	108684000	257476000	0	265000	8367000	43956000	43956000	36402000	118471000	8435000	429000	154872000	8285000	24309000	654000	0	74359000	33248000	0	348000	32594000	5255000	TRUE							
5210	703343000	25000	32188000	76836000	0	122452000	0	0	0	0	1263439000	0	94556000		217056000	157309000	62062000	90239000	1168645000	0	238000	14787000	0	0	80105000	155136000	94929000	8979000	191954000	15927000	33702000	10681000	3327000	122093000	63638000	9237000	0	44396000	11917000	TRUE	30302000	20405000	97808000	59501000	448150000	131906000	
5461	341735000	0	9789000	53196000	0	53196000	0	0	0	0	507096000	0	12685000		5619000	138293000	2997000	43407000	494411000	0	0	946000	0	0	4272000	7696000	1517000	489000	9976000	3835000	8849000	411000	0	8353000	13095000	49893000	0	12684000	0	TRUE							
5751	10222000	0	5228000	26109000	0	50765000	0	0	2715000	0	114372000	0	20669000		18472000	58729000	8946000	45537000	92209000	0	1494000	4309000	2715000	1970000	11240000	16467000	10015000	1825000	27707000	914000	1614000	2647000	699000	21075000	5874000	0	0	2528000	0	TRUE							
6039	33403000	0	15413000	108818000	0	128661000	0	0	0	0	126697000	0	2612000		40695000	18408000	11222000	113248000	124085000	0	0	2232000	0	0	12424000	48594000	6466000	358000	61018000	1100000	4745000	1200000	0	27147000	7045000	0	0	5845000	99000	FALSE							
6329	59639000	0	14813000	250328000	0	314239000	0	0	5614000	0	437105000	0	23058000		90271000	89020000	12277000	299426000	412746000	0	1301000	2952000	5614000	5614000	41155000	144788000	42613000	3193000	185943000	4435000	41980000	9643000	639000	141478000	56697000	35494000	0	46415000	21573000	FALSE							
7009	0	0	0	58659000	0	58659000	0	0	0	0	657254000	0	0		0	657254000	0	58659000	657254000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FALSE							
7045	27317000	0	11832000	24882000	0	100004000	0	0	0	0	77646000	0	5928000		20561000	16154000	6156000	88172000	71718000	0	0	278000	0	0	3265000	7797000	16883000	2460000	11062000	263000	0	3507000	0	9844000	3770000	0	0	263000	0	TRUE							
7072	72833000	0	1660000	40886000	0	65527000	0	0	7005000	0	200283000	0	17662000		41265000	43194000	16449000	63867000	182380000	0	241000	4501000	7005000	7005000	13984000	33923000	17261000	4035000	47907000	0	13107000	1398000	548000	27938000	15053000	0	0	10000000	0	TRUE							
7456	22281000	0	14062000	16955000	0	38772000	0	0	0	0	47171000	0	4937000		12596000	0	2473000	24710000	40500000	0	1734000	0	0	0	2516000	10300000	6903000	236000	12816000	2713000	1116000	764000	342000	7359000	4935000	0	0	3829000	1734000	TRUE							
7634	8159000	0	2069000	11350000	0	16652000	0	0	0	0	43207000	0	139000		12206000	1296000	5867000	14583000	42968000	0	100000	3866000	0	0	4054000	17773000	4248000	752000	21827000	1347000	5033000	545000	0	14621000	6925000	0	0	6380000	0	FALSE							
8033	26098000	0	2012000	52304000	0	80339000	0	0	0	0	151281000	0	963000		43312000	68000	7183000	78327000	128209000	0	22109000	3637000	0	0	8266000	37045000	52655000	5507000	45211000	7556000	4012000	10073000	0	60161000	21641000	0	0	11568000	22109000	TRUE							
8462	1244000	0	4766000	72128000	0	115161000	0	0	0	0	39138000	0	9240000		7344000	5408000	3580000	110145000	29898000	250000	0	1401000	0	0	10887000	10058000	1260000	0	20287000	5524000	4263000	494000	0	14861000	10281000	0	0	9787000	0	TRUE							
8631	17782000	0	288000	18262000	0	23043000	0	0	0	0	34170000	0	987000		7705000	2415000	2563000	22755000	33183000	0	0	1058000	0	0	1299000	4487000	3676000	3089000	5786000	0	1423000	0	0	4845000	1423000	0	0	1423000	0	TRUE							
9357	115753000	175000	538000	40494000	0	46566000	0	0	55000000	0	349156000	9333000	0		895000	174200000	1137000	45853000	339823000	0	0	435000	55000000	55000000	55747000	493000	544000	206000	56240000	1400000	813000	0	0	56095000	2213000	5214000	0	2213000	0	TRUE							
9553	17161000	0	14044000	19403000	0	43271000	0	0	8249000	0	61597000	0	3701000		13658000	7878000	6124000	29227000	56656000	0	1240000	0	8249000	8000000	3220000	21429000	7588000	250000	24649000	433000	2755000	882000	0	18829000	4070000	0	0	3188000	991000	TRUE							
9807	470249000	0	33561000	102641000	0	154939000	0	0	0	0	1724591000	0	313455000		76907000	838531000	81344000	121378000	1411136000	0	0	1755000	0	0	32765000	161362000	84176000	1847000	194127000	81413000	48542000	5705000	0	203244000	135660000	10600000	0	129955000	162790000	TRUE	8165000	11540000	533370000	305161000	289331000	180918000	
9955	11440000	30000	3924000	26923000	0	40482000	0	0	3250000	0	74663000	0	23863000		6948000	45266000	990000	36528000	50800000	0	0	0	3250000	3250000	5684000	5721000	3104000	246000	11405000	0	2800000	402000	0	7807000	3202000	0	0	2800000	0	TRUE							
10250	150735000	0	1202000	27383000	0	51824000	0	0	0	0	340414000	0	7472000		44150000	104339000	28128000	50621000	332096000	1000	846000	10763000	0	0	7418000	23906000	36971000	2273000	31324000	817000	6167000	6137000	1652000	26418000	14773000	2442000	0	6984000	745000	TRUE							
10849	58197000	0	2043000	10189000	0	27168000	0	0	0	0	195173000	0	35161000		43802000	26825000	8823000	25124000	160012000	1000	0	2444000	0	0	17610000	47985000	22997000	839000	60142000	2067000	15304000	3349000	0	45628000	20721000	0	0	17371000	3999000	FALSE							
11145	34183000	0	36719000	41758000	0	98296000	0	0	1059000	0	107263000	0	14349000		20214000	22091000	7780000	61373000	92914000	204000	0	4161000	0	0	2746000	11078000	14334000	4221000	13824000	816000	3084000	14456000	254000	12165000	18610000	0	0	3900000	0	TRUE							
11640	171662000	0	6115000	16338000	0	28515000	0	0	0	0	291070000	0	41494000		34553000	30469000	18305000	22400000	249576000	0	0	10397000	0	0	12458000	29330000	13870000	9801000	41706000	2608000	15311000	3708000	1854000	30906000	23480000	0	0	17919000	0	TRUE							
11837	5517000	0	25928000	9164000	0	45578000	0	0	0	0	35735000	0	186000		13325000	7635000	2698000	19650000	35549000	0	0	632000	0	0	1507000	9643000	3410000	6208000	11150000	0	568000	331000	916000	7443000	1815000	0	0	568000	0	TRUE							
12030	39117000	0	19758000	101188000	0	139208000	0	0	0	0	186925000	0	1577000		52799000	52001000	17554000	119450000	185148000	0	200000	5976000	0	0	17024000	37810000	24292000	3075000	54834000	2533000	2598000	8475000	0	29402000	13606000	0	0	5131000	0	FALSE							
